Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_001114102,1110034b05rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_027921,Slc16a14,-,-,-,-,-,-0.035 ,0.063 ,-0.184 ,-0.116 ,0.292 ,0,0,0,0,0,0,0,0,0
NM_007695,Chi3l1,17,111,-0.157 ,-0.265 ,-0.082 ,0.098 ,0.101 ,-0.450 ,0.077 ,3.008 ,0,0,0,0,0,1,0,0,0
NM_011439,Sox13,-,-,-,-,-,0.440 ,0.119 ,0.149 ,0.136 ,0.822 ,0,0,0,0,0,0,0,0,0
NM_172846,Dnahc14,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_010477,Hspd1,35,364,-0.065 ,-0.147 ,0.038 ,-0.402 ,0.050 ,0.396 ,-0.092 ,-3.455 ,0,0,0,0,0,0,0,0,0
NM_173029,Adcy10,-,-,-,-,-,0.105 ,0.112 ,-0.061 ,-0.008 ,0.036 ,0,0,0,0,0,0,0,0,0
NM_172653,Slc39a10,-,-,-,-,-,-0.435 ,0.155 ,0.672 ,-0.050 ,-2.257 ,0,0,0,0,1,1,0,0,0
NM_019562,Uchl5,11,28,0.019 ,-0.063 ,0.099 ,0.031 ,0.163 ,0.106 ,0.008 ,-2.138 ,0,0,0,0,0,0,0,0,0
NM_153502,Ankrd23,-,-,-,-,-,-0.039 ,0.052 ,0.001 ,0.064 ,-0.038 ,0,0,0,0,0,0,0,0,0
NM_001013025,Tgfbrap1,-,-,-,-,-,0.057 ,0.061 ,-0.176 ,0.167 ,0.135 ,0,0,0,0,0,0,0,0,0
NM_198127,Abi2,-,-,-,-,-,0.105 ,0.035 ,0.050 ,0.233 ,-3.031 ,0,0,1,0,0,0,0,0,0
NM_170597,Creg2,-,-,-,-,-,-0.008 ,0.029 ,-0.117 ,-0.157 ,0.142 ,0,0,0,0,0,0,0,0,0
NM_029025,Tmem81,-,-,-,-,-,-0.171 ,0.032 ,-0.127 ,0.037 ,-0.132 ,0,0,0,0,0,0,0,0,0
NM_007855,Twist2,-,-,-,-,-,0.010 ,0.135 ,0.095 ,-0.279 ,0.065 ,0,0,0,0,0,0,0,0,0
NM_023141,Tor3a,-,-,-,-,-,-0.028 ,0.080 ,0.079 ,-0.134 ,-0.454 ,0,0,0,0,0,0,0,0,0
NM_175127,Fbxo28,-,-,-,-,-,0.123 ,0.073 ,-0.209 ,0.096 ,1.056 ,0,0,0,0,0,0,0,0,0
NM_172849,9430031j16rik,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0
NM_021313,Rnf25,-,-,-,-,-,0.170 ,0.070 ,0.021 ,0.115 ,1.204 ,0,0,0,0,0,0,0,0,0
NM_001013750,Gm597,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_028399,Ccnt2,-,-,-,-,-,0.179 ,0.052 ,-0.093 ,0.044 ,0.159 ,0,0,1,0,0,0,0,0,0
NM_001033291,Usp40,-,-,-,-,-,0.244 ,0.088 ,0.079 ,0.072 ,0.164 ,1,0,0,0,0,0,0,0,0
NM_130456,Nphs2,-,-,-,-,-,0.030 ,0.127 ,0.012 ,-0.033 ,0.290 ,0,0,0,0,0,0,0,0,0
NM_001039511,Ivns1abp,-,-,-,-,-,-0.338 ,0.151 ,0.132 ,0.186 ,-2.378 ,0,0,0,0,0,0,0,0,0
NM_178399,3110035e14rik,-,-,-,-,-,0.156 ,0.058 ,-0.041 ,-0.128 ,0.150 ,0,0,0,0,0,0,0,0,0
NM_027154,Tmbim1,-,-,-,-,-,0.135 ,0.117 ,0.198 ,-0.013 ,-2.011 ,0,0,0,0,0,0,0,0,0
NM_177397,Atp6v1g3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001081259,Flvcr1,-,-,-,-,-,-0.064 ,0.032 ,0.040 ,-0.046 ,0.228 ,0,0,0,0,0,0,0,0,0
NM_025453,Tm4sf20,-,-,-,-,-,0.085 ,0.033 ,0.060 ,0.158 ,0.444 ,1,0,0,0,0,0,0,0,0
NM_007495,Astn1,-,-,-,-,-,0.062 ,0.041 ,0.078 ,-0.172 ,-0.059 ,0,0,0,0,0,0,0,0,0
NM_001040027,Ottmusg00000020946,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001081209,Prdm14,-,-,-,-,-,-0.021 ,0.092 ,-0.172 ,-0.154 ,0.150 ,0,0,0,0,0,0,0,0,0
NM_177757,Kif26b,-,-,-,-,-,0.036 ,0.057 ,-0.055 ,0.233 ,0.093 ,0,0,0,0,0,1,0,0,0
NM_178882,D2hgdh,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001001566,Chpf,-,-,-,-,-,-0.120 ,0.080 ,-0.346 ,0.002 ,-0.162 ,0,0,0,0,0,0,0,0,0
NM_133664,Lad1,-,-,-,-,-,0.086 ,0.314 ,0.244 ,0.077 ,0.218 ,0,0,0,0,0,0,0,0,0
NM_144817,Camk1g,-,-,-,-,-,-0.124 ,0.130 ,0.054 ,-0.139 ,0.256 ,0,0,0,0,0,0,0,0,0
NM_026250,Zh2c2,-,-,-,-,-,-0.066 ,0.102 ,-0.009 ,-0.127 ,-0.417 ,0,0,0,0,0,0,0,0,0
NM_009126,Serpinb3a,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_007432,Akp3,-,-,-,-,-,-0.039 ,0.088 ,-0.086 ,0.154 ,0.507 ,0,0,0,0,0,0,0,0,0
NM_026367,Gpatch2,-,-,-,-,-,-0.092 ,0.121 ,-0.012 ,-0.051 ,-0.008 ,0,0,0,0,0,0,0,0,0
NM_133829,2210010l05rik,-,-,-,-,-,0.571 ,0.168 ,-0.092 ,0.223 ,3.531 ,0,0,0,1,0,0,0,0,0
NM_172294,Sulf1,-,-,-,-,-,0.043 ,0.152 ,0.075 ,-0.196 ,-0.022 ,0,0,0,0,0,0,0,0,0
NM_172411,2310007b03rik,-,-,-,-,-,0.066 ,0.061 ,0.054 ,0.022 ,0.430 ,0,0,0,0,0,0,0,0,0
NM_001039495,Ccdc108,-,-,-,-,-,0.088 ,0.046 ,-0.029 ,0.108 ,0.516 ,0,0,0,0,0,0,0,0,0
NM_025424,Nenf,-,-,-,-,-,0.261 ,0.124 ,-0.070 ,0.319 ,-2.058 ,0,0,0,0,0,0,0,0,0
NM_172841,Slco5a1,-,-,-,-,-,-0.033 ,0.075 ,-0.223 ,0.028 ,0.348 ,0,0,1,0,0,0,0,0,0
NM_001081360,Camsap1l1,-,-,-,-,-,0.433 ,0.196 ,0.259 ,0.466 ,0.467 ,0,1,0,1,1,0,0,0,0
NM_145392,Bag2,-,-,-,-,-,-0.369 ,0.118 ,0.412 ,-0.405 ,-4.130 ,0,0,0,0,0,0,0,0,0
NM_177839,Tnn,-,-,-,-,-,-0.092 ,0.141 ,0.081 ,0.100 ,0.221 ,0,0,0,0,1,0,0,0,0
NM_133252,Tram2,1,2,-0.019 ,-0.020 ,-0.019 ,-0.127 ,0.104 ,-0.133 ,-0.108 ,0.183 ,0,0,0,0,0,0,0,0,0
NM_172655,Hecw2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009452,Tnfsf4,-,-,-,-,-,-0.078 ,0.019 ,0.009 ,0.148 ,0.487 ,0,0,0,0,0,0,0,0,0
NM_026977,1810031k17rik,-,-,-,-,-,0.099 ,0.032 ,-0.270 ,-0.078 ,1.453 ,0,0,0,0,0,0,0,0,0
NM_001081027,Kcnt2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_133810,Stk17b,-,-,-,-,-,0.123 ,0.100 ,-0.077 ,-0.004 ,3.009 ,0,0,0,0,0,0,0,0,0
NM_027357,Psmd1,41,221,0.066 ,0.004 ,0.145 ,-0.081 ,0.015 ,0.116 ,0.059 ,-1.116 ,0,0,0,0,0,0,0,0,0
NM_001024952,Rc3h1,-,-,-,-,-,-0.040 ,0.059 ,-0.059 ,0.021 ,0.330 ,0,2,1,0,0,0,0,0,0
NM_026171,Nvl,4,27,-0.355 ,-0.413 ,-0.150 ,-0.141 ,0.055 ,0.001 ,0.015 ,-1.326 ,0,0,1,0,0,0,0,0,0
NM_027188,Smyd3,2,4,-0.709 ,-0.864 ,-0.554 ,0.063 ,0.060 ,-0.014 ,0.151 ,-1.592 ,0,0,0,0,0,0,0,0,0
NM_181405,Rnpepl1,-,-,-,-,-,0.720 ,0.093 ,0.199 ,0.578 ,1.042 ,0,1,1,0,0,0,0,0,0
NM_011267,Rgs16,-,-,-,-,-,-0.093 ,0.074 ,0.167 ,0.159 ,0.272 ,0,0,0,0,1,0,0,0,0
NM_023136,Dtymk,1,11,-0.003 ,-0.120 ,0.145 ,0.038 ,0.092 ,0.201 ,0.150 ,-2.012 ,0,0,0,0,0,0,0,0,0
NM_001001883,Hecw2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0
NM_001033499,Sh2d1b2,-,-,-,-,-,0.628 ,0.102 ,0.265 ,0.324 ,0.655 ,0,0,0,0,0,0,0,0,0
NM_197990,1700025g04rik,-,-,-,-,-,0.490 ,0.128 ,0.311 ,0.657 ,-0.531 ,0,0,0,0,0,0,0,0,0
NM_013673,Sp100,2,2,1.097 ,0.158 ,2.037 ,0.238 ,0.022 ,-0.333 ,0.135 ,1.591 ,0,0,0,0,0,0,0,0,0
NM_001039482,Klhl20,-,-,-,-,-,0.030 ,0.179 ,0.081 ,0.112 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_001109985,Nos1ap,-,-,-,-,-,0.038 ,0.208 ,-0.278 ,0.093 ,0.897 ,0,0,0,0,0,0,0,0,0
NM_010098,Opn3,-,-,-,-,-,-0.061 ,0.145 ,0.106 ,-0.101 ,0.108 ,0,0,0,0,0,0,0,0,0
NM_008783,Pbx1,-,-,-,-,-,0.400 ,0.109 ,0.167 ,0.254 ,2.041 ,0,0,0,0,0,0,0,0,0
NM_198247,Sertad4,-,-,-,-,-,-0.192 ,0.174 ,-0.035 ,-0.110 ,0.127 ,0,0,0,0,0,0,0,0,0
NM_010933,Nppc,-,-,-,-,-,0.063 ,0.040 ,0.160 ,-0.263 ,0.068 ,0,0,1,0,0,0,0,0,0
NM_008209,Mr1,-,-,-,-,-,0.545 ,0.200 ,0.076 ,0.910 ,1.160 ,0,1,0,0,0,0,0,0,0
NM_023514,Mrps9,2,3,-0.325 ,-0.326 ,0.028 ,-0.003 ,0.049 ,-0.114 ,0.037 ,-1.124 ,0,0,0,0,0,0,0,0,0
NM_009418,Tpp2,62,260,0.113 ,0.055 ,0.179 ,-0.085 ,0.019 ,0.040 ,-0.016 ,-0.258 ,0,0,0,0,0,1,0,0,0
NM_172648,Ifi205,-,-,-,-,-,0.164 ,0.279 ,-0.144 ,0.263 ,-1.159 ,0,0,0,0,0,0,0,0,0
NM_183022,Accn4,-,-,-,-,-,0.050 ,0.032 ,0.059 ,-0.147 ,0.325 ,0,0,0,0,0,0,0,0,0
NM_001081227,6330403a02rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001082573,Crygc,-,-,-,-,-,0.270 ,0.116 ,-0.141 ,-0.275 ,0.112 ,0,0,0,0,0,0,0,0,0
NM_001033288,Gm106,-,-,-,-,-,0.063 ,0.086 ,-0.112 ,0.131 ,0.308 ,0,0,0,0,0,0,0,0,0
NM_026850,Pdcl3,9,24,-0.076 ,-0.103 ,0.043 ,-0.059 ,0.049 ,0.010 ,-0.042 ,0.195 ,0,0,0,0,0,0,0,0,0
NM_008567,Mcm6,35,209,-0.061 ,-0.216 ,0.015 ,-0.160 ,0.067 ,0.008 ,0.074 ,-1.863 ,0,0,0,0,0,0,0,0,0
NM_012049,Nit1,9,16,0.120 ,0.055 ,0.236 ,0.170 ,0.086 ,-0.146 ,0.283 ,0.742 ,0,0,0,0,0,0,0,0,0
NM_183124,Defb41,-,-,-,-,-,-0.010 ,0.143 ,-0.003 ,0.260 ,0.257 ,0,0,0,0,0,0,0,0,0
NM_201376,Serpinb3d,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_021355,Fmod,-,-,-,-,-,-0.065 ,0.051 ,0.081 ,0.012 ,0.340 ,0,0,0,0,0,0,0,0,0
NM_001013771,Gm973,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0
NM_026823,Arl8a,11,65,0.052 ,-0.143 ,0.204 ,-0.132 ,0.079 ,-0.215 ,-0.389 ,0.730 ,0,0,0,0,0,0,0,0,0
NM_008250,Hlx,-,-,-,-,-,0.189 ,0.158 ,-0.142 ,-0.066 ,2.098 ,0,0,0,0,0,0,0,0,0
NM_173187,2310035c23rik,4,6,0.243 ,0.102 ,0.324 ,0.060 ,0.053 ,-0.091 ,0.218 ,0.324 ,0,0,0,0,0,2,0,0,0
NM_007735,Col4a4,-,-,-,-,-,0.092 ,0.081 ,0.128 ,0.116 ,0.160 ,0,0,0,0,0,0,0,0,0
NM_011111,Serpinb2,-,-,-,-,-,-0.542 ,0.321 ,-0.240 ,-0.289 ,0.643 ,0,0,0,0,0,0,0,0,0
NM_026913,Mitd1,-,-,-,-,-,-0.032 ,0.021 ,-0.030 ,-0.118 ,-1.483 ,0,0,0,0,0,0,0,0,0
NM_001033427,Lyg2,-,-,-,-,-,-0.009 ,0.063 ,0.321 ,-0.029 ,0.198 ,0,0,0,0,0,0,0,0,0
NM_025864,Tmem206,-,-,-,-,-,-0.073 ,0.084 ,0.000 ,0.170 ,-2.716 ,0,0,0,0,0,0,0,0,0
NM_001113383,Gls,2,2,-0.093 ,-0.274 ,0.088 ,-0.180 ,0.124 ,0.143 ,-0.105 ,-1.469 ,0,0,0,0,0,0,0,0,0
NM_001033450,Mnda,-,-,-,-,-,-0.571 ,0.184 ,-0.025 ,-0.004 ,0.062 ,0,0,0,0,0,0,0,0,0
NM_133805,Cops8,4,19,-0.028 ,-0.100 ,0.030 ,0.058 ,0.023 ,0.018 ,0.195 ,-0.271 ,0,0,0,0,0,0,0,0,0
NM_178601,Imp4,-,-,-,-,-,0.022 ,0.095 ,0.114 ,0.154 ,-1.325 ,0,0,0,0,0,0,0,0,0
NM_175382,2700049p18rik,-,-,-,-,-,-0.011 ,0.055 ,0.307 ,-0.159 ,-1.800 ,0,0,0,0,0,1,0,0,0
NM_010743,Il1rl1,-,-,-,-,-,-0.105 ,0.177 ,0.388 ,0.080 ,0.108 ,0,0,0,0,0,0,0,0,0
NM_025505,Blzf1,-,-,-,-,-,-0.184 ,0.181 ,-0.045 ,-0.125 ,-0.645 ,0,0,0,0,0,0,0,0,0
NM_001039512,Ivns1abp,-,-,-,-,-,-0.288 ,0.112 ,0.006 ,-0.234 ,-2.857 ,0,0,0,0,0,0,0,0,0
NM_011650,Tsn,10,27,0.325 ,0.284 ,0.670 ,0.315 ,0.066 ,0.181 ,0.204 ,-1.208 ,0,0,1,0,0,0,0,0,0
NM_022563,Ddr2,-,-,-,-,-,-0.004 ,0.092 ,-0.050 ,-0.213 ,0.432 ,1,0,0,0,0,0,0,0,0
NM_012012,Exo1,-,-,-,-,-,-0.508 ,0.050 ,0.272 ,-0.508 ,-2.727 ,0,1,0,0,0,1,0,0,0
NM_030710,Slamf6,-,-,-,-,-,-0.113 ,0.096 ,0.057 ,-0.303 ,-0.008 ,0,0,0,0,0,0,0,0,0
NM_025569,Mgst3,-,-,-,-,-,0.176 ,0.083 ,0.028 ,0.072 ,-0.818 ,0,0,0,0,0,0,0,0,0
NM_010045,Darc,-,-,-,-,-,0.227 ,0.137 ,0.239 ,-0.323 ,-0.434 ,0,0,0,0,0,0,0,0,0
NM_172650,Kctd3,-,-,-,-,-,-0.243 ,0.082 ,0.083 ,-0.222 ,-1.497 ,0,0,1,0,0,0,0,0,0
NM_030266,Inpp4a,3,3,0.422 ,-1.632 ,0.844 ,-0.017 ,0.070 ,0.216 ,0.294 ,1.388 ,0,0,0,0,0,0,0,0,0
NM_001012322,Sctr,-,-,-,-,-,0.018 ,0.066 ,-0.188 ,-0.222 ,0.118 ,0,0,0,0,0,0,0,0,0
NM_009539,Zap70,-,-,-,-,-,0.168 ,0.103 ,0.166 ,0.191 ,0.236 ,0,0,0,0,0,0,0,0,0
NM_001110227,Loc100040591,-,-,-,-,-,0.044 ,0.104 ,-0.041 ,-0.249 ,0.083 ,0,0,0,0,0,0,0,0,0
NM_009533,Xrcc5,-,-,-,-,-,0.097 ,0.078 ,-0.221 ,-0.003 ,0.152 ,0,0,0,0,1,0,0,0,0
NM_022327,Ralb,8,34,0.230 ,0.009 ,0.304 ,0.003 ,0.022 ,-0.034 ,-0.067 ,1.348 ,0,0,0,0,0,0,0,0,0
NM_013499,Cr1l,5,10,0.194 ,0.127 ,0.258 ,0.176 ,0.046 ,0.130 ,0.239 ,0.265 ,0,0,0,0,0,0,0,0,0
NM_029777,Rhbdd1,-,-,-,-,-,0.257 ,0.041 ,-0.344 ,0.013 ,0.436 ,0,0,0,0,0,0,0,0,0
NM_001081304,Atf6,-,-,-,-,-,-0.058 ,0.067 ,0.076 ,-0.013 ,-0.146 ,0,1,0,0,0,0,0,0,0
NM_198680,Serpinb3b,-,-,-,-,-,-0.073 ,0.084 ,-0.003 ,-0.168 ,0.112 ,0,0,0,0,0,1,0,0,0
NM_176972,Usp37,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_011206,Ptpn18,1,4,0.026 ,-0.111 ,0.282 ,0.208 ,0.048 ,-0.183 ,0.102 ,0.051 ,0,0,0,0,0,0,0,0,0
NM_028749,Npl,14,51,0.297 ,0.194 ,0.390 ,0.471 ,0.227 ,0.663 ,3.042 ,1.756 ,0,0,0,0,0,0,0,0,0
NM_001111279,Wdfy1,5,12,0.525 ,0.512 ,0.734 ,0.629 ,0.204 ,-0.086 ,0.025 ,0.439 ,0,0,0,0,0,0,0,0,0
NM_020588,Tmem183a,-,-,-,-,-,-0.057 ,0.049 ,0.259 ,0.046 ,-0.273 ,0,0,0,0,0,0,0,0,0
NM_176916,Pld5,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_007827,Daf2,-,-,-,-,-,-0.165 ,0.027 ,-0.025 ,-0.143 ,0.056 ,0,0,0,0,0,0,0,0,0
NM_008998,Rab17,-,-,-,-,-,-0.041 ,0.089 ,0.173 ,0.118 ,-0.032 ,0,0,0,0,0,0,0,0,0
NM_007921,Elf3,-,-,-,-,-,0.051 ,0.053 ,0.004 ,-0.004 ,0.322 ,0,0,0,0,0,0,0,0,0
NM_181048,A130010j15rik,-,-,-,-,-,-0.388 ,0.106 ,0.221 ,0.122 ,-2.157 ,0,0,0,0,0,0,0,0,0
NM_009721,Atp1b1,-,-,-,-,-,-0.183 ,0.086 ,-0.209 ,-0.135 ,-0.329 ,0,1,0,0,0,0,0,0,0
NM_030033,Crisp4,-,-,-,-,-,0.032 ,0.027 ,-0.183 ,-0.015 ,0.219 ,0,0,0,0,0,0,0,0,0
NM_022018,Niban,34,179,0.379 ,0.212 ,0.478 ,0.069 ,0.028 ,-0.376 ,0.099 ,4.081 ,0,0,0,0,0,1,0,0,0
NM_027678,Zranb3,-,-,-,-,-,-0.168 ,0.180 ,-0.181 ,0.034 ,-1.438 ,0,0,0,1,0,0,0,0,0
NM_016717,Scly,5,11,-0.079 ,-0.139 ,0.130 ,0.041 ,0.050 ,-0.113 ,-0.196 ,-0.314 ,0,0,0,0,0,0,0,0,0
NM_001033185,1700084c01rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_026493,Cspp1,-,-,-,-,-,-0.040 ,0.014 ,0.020 ,0.077 ,0.152 ,0,0,0,0,0,0,0,0,0
NM_010891,Sept2,8,61,0.215 ,0.073 ,0.329 ,0.149 ,0.044 ,0.249 ,-0.268 ,-0.960 ,0,0,1,0,0,0,0,0,0
NM_026430,Uxs1,-,-,-,-,-,0.231 ,0.036 ,-0.091 ,0.223 ,-0.424 ,0,0,0,1,0,0,0,0,0
NM_001081658,Dytn,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_139150,Carf,-,-,-,-,-,0.032 ,0.087 ,-0.029 ,-0.025 ,-0.073 ,0,0,0,0,0,1,0,0,0
NM_015811,Rgs1,-,-,-,-,-,-0.102 ,0.507 ,0.211 ,0.451 ,-2.661 ,0,0,0,0,0,0,0,0,0
NM_028829,Paqr8,-,-,-,-,-,0.517 ,0.109 ,0.041 ,0.419 ,-0.107 ,0,1,0,0,0,0,0,0,0
NM_010145,Ephx1,-,-,-,-,-,-0.007 ,0.051 ,-0.024 ,-0.263 ,-0.236 ,0,0,0,0,0,0,0,0,0
NM_175026,Pyhin1,-,-,-,-,-,0.220 ,0.254 ,-0.214 ,0.285 ,0.514 ,0,0,0,0,0,0,0,0,0
NM_153171,Rgs13,-,-,-,-,-,0.018 ,0.039 ,-0.019 ,-0.134 ,-0.032 ,0,0,0,0,0,0,0,0,0
NM_027528,Nos1ap,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_033509,Vangl2,-,-,-,-,-,-0.049 ,0.178 ,0.151 ,-0.178 ,-0.706 ,0,0,0,0,0,0,0,0,0
NM_001037725,Als2cr13,-,-,-,-,-,0.060 ,0.073 ,-0.262 ,-0.004 ,0.957 ,0,1,0,0,0,0,0,0,0
NM_011924,Avpr1b,-,-,-,-,-,-0.043 ,0.216 ,0.041 ,-0.095 ,0.468 ,0,0,0,0,0,0,0,0,0
NM_029696,Mdh1b,-,-,-,-,-,0.016 ,0.155 ,-0.033 ,-0.078 ,0.007 ,0,0,0,0,0,0,0,0,0
NM_011619,Tnnt2,-,-,-,-,-,0.240 ,0.135 ,0.020 ,-0.109 ,-0.013 ,0,0,0,0,0,0,0,0,0
NM_011931,Rfwd2,-,-,-,-,-,0.093 ,0.065 ,-0.054 ,-0.027 ,0.979 ,0,0,0,0,0,0,0,0,0
NM_178775,Rps6kc1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_010629,Kifap3,-,-,-,-,-,0.073 ,0.141 ,0.014 ,0.046 ,-0.673 ,0,0,0,0,0,0,0,0,0
NM_153111,Fev,-,-,-,-,-,-0.115 ,0.047 ,0.016 ,-0.166 ,0.179 ,0,0,0,0,0,0,0,0,0
NM_178874,Tmcc2,-,-,-,-,-,-0.024 ,0.226 ,-0.225 ,0.115 ,-0.963 ,0,0,0,0,0,0,0,0,0
NM_178691,Yod1,-,-,-,-,-,-0.352 ,0.052 ,-0.141 ,-0.179 ,-0.055 ,0,0,1,0,0,0,0,0,0
NM_009480,Usf1,-,-,-,-,-,0.176 ,0.032 ,0.062 ,0.157 ,0.421 ,0,0,1,0,0,0,0,0,0
NM_010231,Fmo1,-,-,-,-,-,0.033 ,0.149 ,0.007 ,0.045 ,0.138 ,0,0,0,0,0,0,0,0,0
NM_011729,Ercc5,-,-,-,-,-,0.209 ,0.099 ,-0.117 ,0.252 ,-0.348 ,0,0,0,0,0,1,0,0,0
NM_021374,Rgs20,-,-,-,-,-,-0.020 ,0.129 ,0.120 ,-0.097 ,0.170 ,0,0,0,0,0,0,0,0,0
NM_172266,Lpgat1,-,-,-,-,-,-0.434 ,0.147 ,-0.356 ,-0.397 ,0.581 ,0,0,0,0,0,0,0,0,0
NM_030211,Kctd18,-,-,-,-,-,0.036 ,0.094 ,-0.130 ,0.249 ,0.358 ,0,0,0,0,1,0,0,0,0
NM_018796,Eef1b2,9,61,0.340 ,0.222 ,0.390 ,0.008 ,0.034 ,0.021 ,0.132 ,-0.990 ,0,0,0,0,0,0,0,0,0
NM_022329,Ifrg15,-,-,-,-,-,-0.013 ,0.042 ,0.163 ,-0.013 ,-0.873 ,1,0,0,0,0,0,1,0,1
NM_146107,Actr1b,2,3,-0.012 ,-0.222 ,0.073 ,-0.040 ,0.035 ,0.158 ,-0.061 ,-0.227 ,0,0,0,0,0,0,0,0,0
NM_030060,Batf3,-,-,-,-,-,0.186 ,0.083 ,-0.061 ,-0.373 ,-0.189 ,0,0,0,0,0,0,0,0,0
NM_178779,Rnf152,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_010865,Myoc,-,-,-,-,-,-0.067 ,0.085 ,-0.006 ,-0.077 ,0.320 ,0,0,1,0,0,0,0,0,0
NM_145508,Dyrk3,-,-,-,-,-,-0.259 ,0.034 ,0.117 ,0.139 ,-2.137 ,0,0,0,0,0,0,0,0,0
NM_023523,Pecr,2,2,-0.001 ,-0.225 ,0.224 ,-0.174 ,0.098 ,-0.104 ,0.159 ,-3.076 ,0,0,0,0,0,0,0,0,0
NM_133193,Il1rl2,-,-,-,-,-,-0.037 ,0.087 ,0.071 ,0.210 ,0.364 ,0,0,0,0,0,0,0,0,0
NM_028942,Slco6c1,-,-,-,-,-,-0.019 ,0.108 ,0.025 ,-0.009 ,-0.087 ,0,0,0,0,0,0,0,0,0
NM_001005507,Smg7,-,-,-,-,-,-0.293 ,0.202 ,-0.617 ,-0.594 ,-0.179 ,0,1,0,0,0,0,0,0,0
NM_172843,Tor1aip2,-,-,-,-,-,0.045 ,0.018 ,0.033 ,0.130 ,0.301 ,0,0,0,0,0,0,0,0,0
NM_053095,Il24,-,-,-,-,-,-0.125 ,0.114 ,0.041 ,-0.422 ,-0.064 ,0,0,0,0,0,0,0,0,0
NM_177081,Ptpn7,5,8,-0.061 ,-0.143 ,0.026 ,-,-,-,-,-,0,0,0,0,0,0,0,0,1
NM_020579,B4galt3,-,-,-,-,-,-0.057 ,0.057 ,-0.196 ,-0.118 ,1.683 ,0,0,0,0,0,0,0,0,0
NM_009676,Aox1,-,-,-,-,-,0.492 ,0.055 ,0.069 ,0.448 ,1.297 ,0,0,0,0,0,0,0,0,0
NM_138314,Nme7,-,-,-,-,-,0.193 ,0.026 ,0.066 ,0.051 ,-1.872 ,0,0,1,0,0,0,0,0,0
NM_145222,B3gnt7,-,-,-,-,-,0.004 ,0.064 ,0.339 ,-0.429 ,-0.779 ,0,0,1,0,0,0,0,0,0
NM_001024720,Hmcn1,-,-,-,-,-,-0.257 ,0.058 ,-0.005 ,0.015 ,0.060 ,0,0,0,0,0,2,0,0,0
NM_010476,Hsd17b7,8,13,-0.401 ,-0.486 ,-0.308 ,-0.543 ,0.122 ,-0.171 ,-0.663 ,0.840 ,0,0,0,0,0,0,0,0,0
NM_022988,Nif3l1,1,2,0.081 ,0.081 ,0.081 ,-0.013 ,0.123 ,0.214 ,0.368 ,-0.869 ,0,0,0,0,0,0,0,0,0
NM_021306,Ecel1,-,-,-,-,-,0.008 ,0.110 ,0.230 ,0.090 ,0.392 ,0,0,0,0,1,0,0,0,0
NM_028540,1700057k13rik,-,-,-,-,-,0.034 ,0.050 ,-0.025 ,-0.001 ,0.497 ,0,0,0,0,0,0,0,0,0
NM_019933,Ptpn4,-,-,-,-,-,-0.176 ,0.228 ,0.060 ,-0.158 ,-0.562 ,0,0,0,0,0,0,0,0,0
NM_207228,Tsga10,-,-,-,-,-,-0.113 ,0.143 ,0.145 ,-0.004 ,0.203 ,0,0,0,0,0,0,0,0,0
NM_008911,Ppox,3,3,0.563 ,-0.185 ,0.896 ,0.103 ,0.090 ,-0.240 ,0.150 ,1.157 ,0,0,0,0,0,0,0,0,0
